n,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
2,1.000000,6799,1596,1605,6235,844,2921,10000
2,1.000000,6588,2972,440,6928,1705,1367,10000
2,3.000000,6525,3016,459,6879,1722,1399,10000
2,5.000000,6519,3044,437,6858,1728,1414,10000
2,7.000000,6512,3058,430,6821,1790,1389,10000
2,9.000000,6598,2997,405,6947,1713,1340,10000
2,1.000000,6824,1999,1177,6463,1082,2455,10000
2,3.000000,6946,1963,1091,6413,1079,2508,10000
2,5.000000,6971,1932,1097,6500,1091,2409,10000
2,7.000000,6884,1946,1170,6388,1100,2512,10000
2,3.000000,6764,1588,1648,6183,819,2998,10000
2,5.000000,6814,1551,1635,6182,836,2982,10000
6,9.000000,7882,100,2018,7587,65,2348,10000
2,7.000000,6901,1489,1610,6313,744,2943,10000
2,9.000000,6776,1590,1634,6170,836,2994,10000
2,1.000000,6622,1332,2046,5992,708,3300,10000
2,3.000000,6746,1297,1957,6100,661,3239,10000
2,5.000000,6667,1308,2025,6047,663,3290,10000
2,7.000000,6704,1350,1946,6069,698,3233,10000
2,9.000000,6733,1302,1965,6072,695,3233,10000
2,1.000000,6701,1176,2123,6033,597,3370,10000
2,3.000000,6532,1209,2259,5941,663,3396,10000
2,5.000000,6595,1193,2212,5930,645,3425,10000
2,7.000000,6551,1221,2228,5938,634,3428,10000
2,9.000000,6619,1161,2220,5921,657,3422,10000
3,1.000000,7281,2239,480,7643,1531,826,10000
3,3.000000,7248,2250,502,7588,1555,857,10000
3,5.000000,7251,2274,475,7611,1551,838,10000
3,7.000000,7297,2250,453,7637,1545,818,10000
3,9.000000,7248,2268,484,7589,1560,851,10000
3,1.000000,7648,1023,1329,7369,645,1986,10000
3,3.000000,7680,959,1361,7342,611,2047,10000
3,5.000000,7623,1029,1348,7312,626,2062,10000
3,7.000000,7578,1071,1351,7243,634,2123,10000
3,9.000000,7677,964,1359,7308,575,2117,10000
3,1.000000,7505,606,1889,6932,350,2718,10000
3,3.000000,7341,636,2023,6831,377,2792,10000
3,5.000000,7347,663,1990,6843,399,2758,10000
3,7.000000,7360,686,1954,6837,395,2768,10000
3,9.000000,7405,603,1992,6859,360,2781,10000
3,1.000000,7112,499,2389,6547,301,3152,10000
3,3.000000,7127,476,2397,6515,268,3217,10000
3,5.000000,7092,501,2407,6551,277,3172,10000
3,7.000000,7052,453,2495,6477,279,3244,10000
3,9.000000,7033,518,2449,6461,307,3232,10000
3,1.000000,6845,366,2789,6242,227,3531,10000
3,3.000000,6731,392,2877,6204,231,3565,10000
3,5.000000,6812,390,2798,6230,222,3548,10000
3,7.000000,6903,371,2726,6349,211,3440,10000
3,9.000000,6825,389,2786,6243,232,3525,10000
4,1.000000,7638,1908,454,7935,1409,656,10000
4,3.000000,7693,1822,485,7974,1342,684,10000
4,5.000000,7644,1882,474,7987,1346,667,10000
4,7.000000,7687,1833,480,7991,1314,695,10000
4,9.000000,7747,1787,466,8020,1319,661,10000
4,1.000000,8055,584,1361,7810,373,1817,10000
4,3.000000,7955,630,1415,7700,395,1905,10000
4,5.000000,8085,624,1291,7821,408,1771,10000
4,7.000000,7966,644,1390,7681,434,1885,10000
4,9.000000,7991,594,1415,7756,364,1880,10000
4,1.000000,7647,305,2048,7232,177,2591,10000
4,3.000000,7616,295,2089,7189,161,2650,10000
4,5.000000,7549,326,2125,7089,198,2713,10000
4,7.000000,7565,324,2111,7124,195,2681,10000
4,9.000000,7618,299,2083,7164,194,2642,10000
4,1.000000,7214,200,2586,6708,123,3169,10000
4,3.000000,7234,190,2576,6763,115,3122,10000
4,7.000000,7177,195,2628,6715,118,3167,10000
4,5.000000,7224,202,2574,6757,129,3114,10000
4,9.000000,7190,216,2594,6737,135,3128,10000
4,1.000000,6849,160,2991,6398,96,3506,10000
4,3.000000,6922,141,2937,6450,83,3467,10000
4,5.000000,6935,131,2934,6446,82,3472,10000
4,7.000000,6903,124,2973,6431,78,3491,10000
4,9.000000,6917,143,2940,6462,91,3447,10000
